date,chart_date,rank,rank_variation,is_new,track_name,artist_name_local,line_artist_id,line_track_id,score,listened_count,like_count,agency,sub_agency,artist_name_master,match_status,source_entry_url
2026-07-27,2026-07-26,1,0,0,It's Me,ILLIT,mi00000000220540fc,mt0000000025849208,3983521.0,4899692,44474,HYBE,BELIFT LAB,ILLIT,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,2,0,0,KISS N TELL,aespa,mi000000001f9c7e6b,mt0000000026a31b68,475060.18,140723,3035,SM,SM Entertainment,aespa,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,3,0,0,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",mi000000002742e075,mt0000000022c8e685,1870984.0,12656817,89828,,,,,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,4,0,0,LEMONADE,aespa,mi000000001d2ef052,mt0000000025dd89b9,1570000.0,1804061,11664,SM,SM Entertainment,aespa,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,5,0,0,Almond Chocolate,ILLIT,mi00000000220540fc,mt00000000213c4c04,1299779.0,14133687,88715,HYBE,BELIFT LAB,ILLIT,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,6,0,0,2.0,BTS,mi000000000dcc9b82,mt00000000251e0153,1255746.0,2843581,17865,HYBE,BIGHIT MUSIC,BTS,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,7,0,0,BAD,ATEEZ,mi000000001e043448,mt0000000026070583,938505.0,349314,4700,OTHER,KQ Entertainment,ATEEZ,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,8,1,0,Magnetic,ILLIT,mi00000000220540fc,mt000000001e7d77b9,1023170.0,30285810,159044,HYBE,BELIFT LAB,ILLIT,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,9,-1,0,SWIM,BTS,mi000000000dcc9b82,mt00000000251e0155,1108309.0,6568747,19497,HYBE,BIGHIT MUSIC,BTS,confirmed,https://music.line.me/webapp/ranking-genre/mg0000000000000033
2026-07-27,2026-07-26,10,0,0,APT.,ROSÉ & Bruno Mars,mi00000000247459ef,mt00000000205e6e5d,983701.0,28531878,159325,,,,,https://music.line.me/webapp/ranking-genre/mg0000000000000033
