date,agency,sub_agency,artist_name,youtube_subscribers,youtube_total_views,youtube_video_count,wikipedia_pv_ja,wikipedia_pv_en
2026-07-27,HYBE,BIGHIT MUSIC,BTS,,,,,
2026-07-27,HYBE,BIGHIT MUSIC,TOMORROW X TOGETHER,,,,,
2026-07-27,HYBE,PLEDIS Entertainment,SEVENTEEN,,,,,
2026-07-27,HYBE,BELIFT LAB,ENHYPEN,,,,,
2026-07-27,HYBE,SOURCE MUSIC,LE SSERAFIM,,,,,
2026-07-27,HYBE,ADOR,NewJeans,,,,,
2026-07-27,HYBE,BELIFT LAB,ILLIT,,,,,
2026-07-27,HYBE,KOZ Entertainment,BOYNEXTDOOR,,,,,
2026-07-27,HYBE,(旧PLEDIS→契約終了),fromis_9,,,,,
2026-07-27,HYBE,HYBE LABELS JAPAN,&TEAM,,,,,
2026-07-27,HYBE,SOURCE MUSIC,GFRIEND,,,,,
2026-07-27,HYBE,HYBE America(Geffen Records),KATSEYE,,,,,
2026-07-27,HYBE,BIGHIT MUSIC,CORTIS,,,,,
2026-07-27,JYP,JYP Entertainment,TWICE,,,,,
2026-07-27,JYP,JYP Entertainment,Stray Kids,,,,,
2026-07-27,JYP,JYP Entertainment,ITZY,,,,,
2026-07-27,JYP,JYP Entertainment,NMIXX,,,,,
2026-07-27,JYP,JYP Entertainment,DAY6,,,,,
2026-07-27,JYP,JYP Entertainment Japan,NiziU,,,,,
2026-07-27,JYP,JYP Entertainment,Xdinary Heroes,,,,,
2026-07-27,JYP,JYP USA (A2K),VCHA,,,,,
2026-07-27,JYP,JYP Entertainment,2PM,,,,,
2026-07-27,JYP,(契約終了),GOT7,,,,,
2026-07-27,JYP,INNIT Entertainment,OURBIRTHDAY,,,,,
2026-07-27,JYP,JYP Entertainment Japan(Sony Music Japan),NEXZ,,,,,
2026-07-27,YG,YG Entertainment,BLACKPINK,,,,,
2026-07-27,YG,YG Entertainment,TREASURE,,,,,
2026-07-27,YG,YG Entertainment,WINNER,,,,,
2026-07-27,YG,YG Entertainment,BABYMONSTER,,,,,
2026-07-27,YG,YG Entertainment,AKMU,,,,,
2026-07-27,YG,YG Entertainment,Taeyang,,,,,
2026-07-27,YG,YG Entertainment,G-Dragon,,,,,
2026-07-27,YG,YG Entertainment,BIGBANG,,,,,
2026-07-27,YG,(移籍報道あり),iKON,,,,,
2026-07-27,YG,YG Entertainment,Lee Hi,,,,,
2026-07-27,YG,THE BLACK LABEL,MEOVV,,,,,
2026-07-27,SM,SM Entertainment,aespa,,,,,
2026-07-27,SM,SM Entertainment,NCT DREAM,,,,,
2026-07-27,SM,SM Entertainment,NCT 127,,,,,
2026-07-27,SM,SM Entertainment,RIIZE,,,,,
2026-07-27,SM,SM Entertainment,Red Velvet,,,,,
2026-07-27,SM,SM Entertainment,EXO,,,,,
2026-07-27,SM,SM Entertainment,SHINee,,,,,
2026-07-27,SM,SM Entertainment,TVXQ,,,,,
2026-07-27,SM,SM Entertainment,Girls' Generation,,,,,
2026-07-27,SM,SM Entertainment,WayV,,,,,
2026-07-27,SM,SM Entertainment,SUPER JUNIOR,,,,,
2026-07-27,SM,SM Entertainment,NCT U,,,,,
2026-07-27,SM,SM Entertainment,NCT WISH,,,,,
2026-07-27,SM,SM Entertainment,f(x),,,,,
2026-07-27,SM,SM Entertainment,Hearts2Hearts,,,,,
2026-07-27,HYBE,PLEDIS Entertainment,TWS,,,,,
2026-07-27,OTHER,Starship Entertainment,IVE,,,,,
2026-07-27,OTHER,Starship Entertainment,KiiiKiii,,,,,
2026-07-27,OTHER,THE MUZE Entertainment,RESCENE,,,,,
2026-07-27,OTHER,Cube Entertainment,i-dle,,,,,
2026-07-27,OTHER,KQ Entertainment,ATEEZ,,,,,
2026-07-27,OTHER,High Up Entertainment,STAYC,,,,,
2026-07-27,OTHER,WakeOne,Kep1er,,,,,
2026-07-27,OTHER,RBW,MAMAMOO,,,,,
2026-07-27,OTHER,WakeOne,ZEROBASEONE,,,,,
2026-07-27,OTHER,FNC Entertainment,P1Harmony,,,,,
2026-07-27,OTHER,KQ Entertainment,xikers,,,,,
2026-07-27,OTHER,Modhaus,tripleS,,,,,
2026-07-27,OTHER,C9 Entertainment,CIX,,,,,
2026-07-27,OTHER,RBW,ONEUS,,,,,
2026-07-27,OTHER,WakeOne,izna,,,,,
2026-07-27,OTHER,VLAST,PLAVE,,,,,
2026-07-27,OTHER,Yuehua Entertainment,YENA,,,,,
