rank,track_id,artist_name_en,track_name,agency,sub_agency,score,chart_delta,chart_recent,chart_prev,is_new_hits,youtube_views,youtube_likes,youtube_comments,platforms_hit,platforms,youtube_video_id
1,trk_5eeb53e07d6b,ILLIT,It's Me,HYBE,BELIFT LAB,1.0,380.0,434.0,54.0,0,,,,4,apple_jp|apple_kr|line|spaceshower,
2,trk_42ade9a07a70,aespa,LEMONADE,SM,SM Entertainment,0.605263,230.0,295.0,65.0,0,,,,4,apple_jp|apple_kr|line|spaceshower,
3,trk_69c5375146af,ATEEZ,BAD,OTHER,KQ Entertainment,0.473684,180.0,255.0,75.0,0,,,,3,apple_kr|line|spaceshower,
4,trk_48b7e43a1746,ILLIT,Magnetic,HYBE,BELIFT LAB,0.405263,152.0,194.0,42.0,0,,,,3,apple_kr|line|spaceshower,
5,trk_9896ca6e0e91,aespa,Whiplash,SM,SM Entertainment,0.371053,141.0,141.0,0.0,0,,,,2,apple_kr|line,
6,trk_41908562b1e2,Hearts2Hearts,Lemon Tang,SM,SM Entertainment,0.347368,128.0,202.0,74.0,0,,,,3,apple_kr|line|spaceshower,
7,trk_1629be49e57a,aespa,KISS N TELL,SM,SM Entertainment,0.278947,106.0,106.0,0.0,0,,,,2,apple_jp|line,
8,trk_4385d0e22e4d,CORTIS,REDRED,HYBE,BIGHIT MUSIC,0.260526,99.0,99.0,0.0,0,,,,1,apple_kr,
9,trk_d563686936bf,RESCENE,LOVE ATTACK,OTHER,THE MUZE Entertainment,0.252632,96.0,96.0,0.0,0,,,,1,apple_kr,
10,trk_c8e7de4fc5c8,RESCENE,Pretty Girl,OTHER,THE MUZE Entertainment,0.25,95.0,95.0,0.0,0,,,,1,apple_kr,
11,trk_5b92e5e30ce8,RESCENE,Deja Vu,OTHER,THE MUZE Entertainment,0.244737,93.0,93.0,0.0,0,,,,1,apple_kr,
12,trk_11ee4c1b8b2a,ILLIT,Almond Chocolate,HYBE,BELIFT LAB,0.242105,92.0,92.0,0.0,0,,,,1,line,
13,trk_f35879686881,Hearts2Hearts,RUDE!,SM,SM Entertainment,0.239474,91.0,91.0,0.0,0,,,,1,apple_kr,
14,trk_d4d46923b488,BTS,2.0,HYBE,BIGHIT MUSIC,0.236842,90.0,90.0,0.0,0,,,,1,line,
15,trk_c533290f9a24,CORTIS,ACAI,HYBE,BIGHIT MUSIC,0.236842,90.0,90.0,0.0,0,,,,1,apple_kr,
16,trk_48adb02ce6fa,KiiiKiii,404 (New Era),OTHER,Starship Entertainment,0.234211,89.0,89.0,0.0,0,,,,1,apple_kr,
17,trk_0861b1f029fe,Hearts2Hearts,STYLE,SM,SM Entertainment,0.228947,81.0,81.0,0.0,0,,,,2,apple_kr|line,
18,trk_7cac2a1b7019,BTS,SWIM,HYBE,BIGHIT MUSIC,0.221053,84.0,149.0,65.0,0,,,,2,line|spaceshower,
19,trk_6542fd2f52f8,CORTIS,YOUNGCREATORCREW,HYBE,BIGHIT MUSIC,0.221053,84.0,84.0,0.0,0,,,,1,apple_kr,
20,trk_07f30cd63216,NewJeans,How Sweet,HYBE,ADOR,0.218421,83.0,83.0,0.0,0,,,,1,apple_kr,
