chart_date,rank,track_name,artist_name_local,spaceshower_artist_id,spaceshower_song_id,agency,sub_agency,artist_name_master,match_status,source_entry_url
2026-09-04,1,This & That,Stray Kids,023639,0167399,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,2,セツナハナビ (Setsuna Hanabi),TOMORROW X TOGETHER,023125,0167415,HYBE,BIGHIT MUSIC,TOMORROW X TOGETHER,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,3,イグジステンス,ZEROBASEONE,025369,0167393,OTHER,WakeOne,ZEROBASEONE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,4,ICONIC HEART,Hearts2Hearts,026520,0167298,SM,SM Entertainment,Hearts2Hearts,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,5,IF I,TREASURE,023958,0166690,YG,YG Entertainment,TREASURE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,6,BAD(Japanese Ver.),ATEEZ,023506,0167220,OTHER,KQ Entertainment,ATEEZ,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,7,SODA SODA,TWS,026406,0167310,HYBE,PLEDIS Entertainment,TWS,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,8,"I Got Your Back (Feat.JISOO, MOMOKA of HANA)",ILLIT,025726,0167187,HYBE,BELIFT LAB,ILLIT,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,9,YO-I-DON!,NCT WISH,025668,0167111,SM,SM Entertainment,NCT WISH,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,10,LUCID DREAM,IVE,024926,0166595,OTHER,Starship Entertainment,IVE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,11,心盗夜,CNBLUE,017504,0165316,,,,,https://tv.spaceshower.jp/p/00089521/
2026-09-04,12,Do It,Stray Kids,023639,0165306,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,13,KISS N TELL,aespa,025310,0167302,SM,SM Entertainment,aespa,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,14,CEREMONY,Stray Kids,023639,0164488,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,15,Lemon Tang,Hearts2Hearts,026520,0166858,SM,SM Entertainment,Hearts2Hearts,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,16,THUNDER,SEVENTEEN,021927,0163621,HYBE,PLEDIS Entertainment,SEVENTEEN,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,17,LEMONADE,aespa,025310,0166693,SM,SM Entertainment,aespa,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,18,Chk Chk Boom,Stray Kids,023639,0160434,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,19,SWIM,BTS,020394,0166039,HYBE,BIGHIT MUSIC,BTS,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,20,I Feel Good,BOYNEXTDOOR,025298,0163473,HYBE,KOZ Entertainment,BOYNEXTDOOR,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,21,Beat-Boxer,NEXZ,025812,0165114,JYP,JYP Entertainment Japan(Sony Music Japan),NEXZ,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,22,Pop Off Pop Off,KiiiKiii,026203,0167309,OTHER,Starship Entertainment,KiiiKiii,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,23,CHOOM,BABYMONSTER,025737,0166533,YG,YG Entertainment,BABYMONSTER,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,24,Magnetic,ILLIT,025726,0159261,HYBE,BELIFT LAB,ILLIT,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,25,GO!,CORTIS,026486,0164503,HYBE,BIGHIT MUSIC,CORTIS,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,26,Hot Mess,aespa,025310,0160187,SM,SM Entertainment,aespa,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,27,WE GO UP,BABYMONSTER,025737,0164952,YG,YG Entertainment,BABYMONSTER,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,28,O-RLY?,NEXZ,025812,0163363,JYP,JYP Entertainment Japan(Sony Music Japan),NEXZ,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,29,はじめまして,TWS,026406,0163972,HYBE,PLEDIS Entertainment,TWS,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,30,Be Alright,IVE,024926,0164082,OTHER,Starship Entertainment,IVE,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,31,EASY,LE SSERAFIM,024900,0158867,HYBE,SOURCE MUSIC,LE SSERAFIM,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,32,GO,BLACKPINK,022154,0165880,YG,YG Entertainment,BLACKPINK,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,33,Walkin On Water,Stray Kids,023639,0162098,JYP,JYP Entertainment,Stray Kids,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,34,WORK,ATEEZ,023506,0159855,OTHER,KQ Entertainment,ATEEZ,confirmed,https://tv.spaceshower.jp/p/00089521/
2026-09-04,35,どうしよっかな,i-dle,023332,0164736,OTHER,Cube Entertainment,i-dle,confirmed,https://tv.spaceshower.jp/p/00089521/
