agency,sub_agency,artist_name_en,artist_name_ja,youtube_channel_id,apple_artist_id,wikipedia_title_ja,wikipedia_title_en,status,notes,image_url
HYBE,BIGHIT MUSIC,BTS,BTS,UCLkAepWjdylmXSltofFvsYQ,883131348,BTS,BTS,収集対象(要ID解決),,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0zMTYxdWdqa2FzcHJuJnM9anA2JnQ9bSZ1PTFrNzVsZTJvODUwZzAmaT0w/m470x470
HYBE,BIGHIT MUSIC,TOMORROW X TOGETHER,TOMORROW X TOGETHER,UCtiObj3CsEAdNU6ZPWDsddQ,1454642552,TOMORROW X TOGETHER,Tomorrow X Together,収集対象(要ID解決),通称TXT,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tMXQxaDdoc2R1dHIwMyZzPWpwNiZ0PW0mdT0xZ3ZoOXMxNzAzNGcwJmk9MA/m470x470
HYBE,PLEDIS Entertainment,SEVENTEEN,SEVENTEEN,UCfkXDY7vwkcJ8ddFGz8KusA,999644772,SEVENTEEN,Seventeen (South Korean band),収集対象(要ID解決),,https://yt3.ggpht.com/ZGqaImntHbCllA_dkYLrc5kH8JE1KNSy2bP7vkWsXjFXgNSzsP2it9qHh7oaQLLJL25B48C2TA=s88-c-k-c0x00ffffff-no-rj
HYBE,BELIFT LAB,ENHYPEN,ENHYPEN,UCArLZtok93cO5R9RI4_Y5Jw,1541011620,ENHYPEN,Enhypen,収集対象(要ID解決),,https://yt3.ggpht.com/DZ3yFL6peM3ASY-9ndbMPaiwac3-VrCDLxhO3WigI60mCahs0GQZuv0SFIbH1TmrPUWrlwEV=s88-c-k-c0x00ffffff-no-rj
HYBE,SOURCE MUSIC,LE SSERAFIM,ル・セラフィム,UCs-QBT4qkj_YiQw1ZntDO3g,1616740364,LE SSERAFIM,Le Sserafim,収集対象(要ID解決),,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0yOXY2NXVnN2IxcGVjJnM9anA2JnQ9bSZ1PTFrcmYzamUxYzRjZzAmaT0w/m470x470
HYBE,ADOR,NewJeans,ニュージーンズ,UCMki_UkHb4qSc0qyEcOHHJw,1635469693,NewJeans,NewJeans,収集対象(要ID解決),運営元と係争中の報道あり要確認,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0zYWl1YTM2NDlnYzgyJnM9anA2JnQ9bSZ1PTFsbWVldmFpazU0ZzAmaT0w/m470x470
HYBE,BELIFT LAB,ILLIT,アイリット,UCEpFoWeCMCo5z3EvWaz6hQQ,1734551937,ILLIT,Illit,収集対象(要ID解決),,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj1haTI0bGJtNmYybnAmcz1qcDYmdD1tJnU9MWxhdW1hMTFnM2NnMCZpPTA/m470x470
HYBE,KOZ Entertainment,BOYNEXTDOOR,ボーイネクストドア,UChhKBlh_wvspTh5n4mL0b5g,1687612559,BOYNEXTDOOR,Boynextdoor,収集対象(要ID解決),,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj1vazdvMnU0aDM4Zmcmcz1qcDYmdD1tJnU9MWxuc2ppcDU4M2owMCZpPTA/m470x470
HYBE,(旧PLEDIS→契約終了),fromis_9,フロミス9,UCXbRURMKT3H_w8dT-DWLIxA,1319150216,Fromis_9,Fromis 9,要判断,2024年末にPLEDIS(HYBE)との契約終了。5名は新事務所ASND、3名は個別活動へ。**現在HYBE非所属**。収集は継続するが集計上HYBEに含めるか要判断,https://yt3.ggpht.com/NbXUWrLtSxZrb2PhQuAGJm00jr9cpIxOFYR_Ls-XEWB7lW_uCrbsqFtYfpHN7VxtZl7wBpbovQ=s88-c-k-c0x00ffffff-no-rj
HYBE,HYBE LABELS JAPAN,&TEAM,アンドチーム,UCHD1jo5RhijLfx5-0Ehe_cg,1654437478,&TEAM,&Team,収集対象(要ID解決),HYBE Japan/Universal Music Japan,https://yt3.ggpht.com/dtmxh5z7wOuvbinhQmetOZ1Sw1SdMiKvFEXg9U5drSh-uanInMzA7G2DHsv8QtM5MddWxW73=s88-c-k-c0x00ffffff-no-rj
HYBE,SOURCE MUSIC,GFRIEND,ジーフレンド,UCRDd3x33kfF0IW6g2MRUkRw,958416186,GFRIEND,GFriend,収集対象(要ID解決),2021年契約終了/2024年9月に期間限定再結成発表。データ的には活動休止扱い要検討,https://yt3.ggpht.com/rWpvfaie6hfpZ2A-vxr3Ov3ionP-49l81BZp4-YPw9FVTWre80zYZ0M7AkIrsOB-MTn3CnxFzw=s88-c-k-c0x00ffffff-no-rj
HYBE,HYBE America(Geffen Records),KATSEYE,キャッツアイ,UCA61H4fWOMHikLcUFKyQUog,1754284416,KATSEYE,Katseye,収集対象(要ID解決),2024年デビューのグローバルガールズグループ,https://yt3.ggpht.com/zPT-8po4FM5aAeOBcHBpfy1bh3Ulks7p1SvHkbi1zSPlRWWte_xSi4EoOt_eCrOCqBgxJwIwsg=s88-c-k-c0x00ffffff-no-rj
HYBE,BIGHIT MUSIC,CORTIS,コルティス,UCZMYvSPulDSUdx7bdtTFdrg,1831651635,CORTIS,Cortis,収集対象(要ID解決),2025-08-18デビュー。ユーザー指定時は「他事務所」候補だったが調査の結果BIGHIT MUSIC(HYBE)所属と判明したためHYBEに分類,https://yt3.ggpht.com/OlxYslxMgLCFB_XQazWI9j2r1BXK1LYeFMuS6bgm0eo4CxCmJTuA6eqNS9RNp8nptguWZop0lQ=s88-c-k-c0x00ffffff-no-rj
JYP,JYP Entertainment,TWICE,TWICE,UCzgxx_DM2Dcb9Y1spb9mUJA,1203816887,TWICE,Twice,収集対象(要ID解決),,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj03MDM4YjRjNmVuNWJrJnM9anA2JnQ9bSZ1PTFpZ3M5NHJlMDU2MDAmaT0w/m470x470
JYP,JYP Entertainment,Stray Kids,Stray Kids,UC9rMiEjNaCSsebs31MRDCRA,1304823362,Stray Kids,Stray Kids,収集対象(要ID解決),,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tM21sZ2duNXU5NDFuOSZzPWpwNiZ0PW0mdT0xbGdrbnBxdm81YmcwJmk9MA/m470x470
JYP,JYP Entertainment,ITZY,ITZY,UCDhM2k2Cua-JdobAh5moMFg,1451964345,ITZY,Itzy,収集対象(要ID解決),,https://yt3.ggpht.com/7mseSxNNVqaEHWf8X8IiJwJFHyA8PGXpFriAAtZNcuq6PrW7Kx2JDDRViKaODn7uekjwAs02MQ=s88-c-k-c0x00ffffff-no-rj
JYP,JYP Entertainment,NMIXX,NMIXX,UCnUAyD4t2LkvW68YrDh7fDg,1600411676,NMIXX,Nmixx,収集対象(要ID解決),,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0xa2xnbGVpa3ZhbjUwJnM9anA2JnQ9bSZ1PTFrb2J1c3A0MDR0MDAmaT0w/m470x470
JYP,JYP Entertainment,DAY6,DAY6,UCp-pqXsizklX3ZHvLxXyhxw,1037939997,DAY6,Day6,収集対象(要ID解決),,https://yt3.ggpht.com/9l6IIG6X_DWsz0hP482yQZHHeY8UfqYN80c6YTPPNfRf2iYRbusbqUx9ynHzDBbeizr3cyVlL9k=s88-c-k-c0x00ffffff-no-rj
JYP,JYP Entertainment Japan,NiziU,NiziU,UCHp2q2i85qt_9nn2H7AvGOw,1519410581,NiziU,NiziU,収集対象(要ID解決),Niziプロジェクト,https://yt3.ggpht.com/upFDm_ucOI7JqL0oezIZt3LcKf0HLSAIgj7VmPh1cfHXE-9_Tsp8UX3txTMgB5yba6qq35imFZY=s88-c-k-c0x00ffffff-no-rj
JYP,JYP Entertainment,Xdinary Heroes,エクスディナリーヒーローズ,UCO9GhtdQcCRf67GIdSQ0HNQ,1594215221,Xdinary Heroes,Xdinary Heroes,収集対象(要ID解決),,https://yt3.ggpht.com/DTC-cX0_aHLJ8TGZnZi8KaSEOL6ErL91xD8wviRa1Z9agNl_4vhEMaeEgyoVC1rorEla0Uwn=s88-c-k-c0x00ffffff-no-rj
JYP,JYP USA (A2K),VCHA,ブイチャ,UCi_BRK1tLd-UIR3FatHO1_g,1707071276,VCHA,VCHA,収集対象(要ID解決),,https://yt3.ggpht.com/MIRO0TE50uayce0289pUKIZy80Ku2azjHlLrYmaiwba2xTLTwGQq9h4QiqPM72lAK-8cv6ja=s88-c-k-c0x00ffffff-no-rj
JYP,JYP Entertainment,2PM,2PM,UCBpzJvEhkemwMOkYLq9yUsA,183292586,2PM,2PM,収集対象(要ID解決),活動頻度低め・要確認,https://yt3.ggpht.com/eSUORHsNLJhQxk3wPRJVxH8Rp90QAxIE6xzPkNorTdRZRZLWw76sQlCNCMMjq_HzCNIPNKz4Z_A=s88-c-k-c0x00ffffff-no-rj
JYP,(契約終了),GOT7,GOT7,UC8HEl74jL3bLLwfDP1OALxw,802694659,GOT7,Got7,要判断,2021年にJYPとの専属契約終了、グループとしては現在事務所非所属(メンバー個別活動)。データ収集対象とするか要再検討,https://yt3.ggpht.com/ytc/AIdro_kDbBMd0WC7kpnkgF1kz517U3u8C95lPfCMbhEL9ghma-U=s88-c-k-c0x00ffffff-no-rj
