agency,sub_agency,artist_name_en,artist_name_ja,youtube_channel_id,apple_artist_id,wikipedia_title_ja,wikipedia_title_en,status,notes,image_url
OTHER,Starship Entertainment,IVE,アイヴ,UC-Fnix71vRP64WXeo0ikd0Q,1594159996,IVE,Ive (group),CANDIDATE,ユーザー指定,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tMWU4anVvYmlyNWdkbCZzPWpwNiZ0PW0mdT0xanF0b2g0aWs0ZGcwJmk9MA/m470x470
OTHER,Starship Entertainment,KiiiKiii,キーキー,UCaHwGJXFb28TekZMf7iFg5Q,1795471746,KiiiKiii,KiiiKiii,CANDIDATE,ユーザー指定。2025-03-24デビュー,https://yt3.ggpht.com/FiX2XOR3oZDKJFJREEWlK30eZMTGLmRH8J-9XiqGIbDMo8OGviVlczUhr1EiIjdSRyVhr_1L_6c=s88-c-k-c0x00ffffff-no-rj
OTHER,THE MUZE Entertainment,RESCENE,リセンヌ,UCtKtCiaWRz-d3EZn2xd1mdA,1732658659,RESCENE,Rescene,CANDIDATE,ユーザー指定。2024-03-26デビュー,https://yt3.ggpht.com/FZA-rWIvn9keS8iE50HqS4SIMpSRBkcht4r2Cp_gw1qndscJfo_X8qbcwEETVdlMLQoQWlkC6A=s88-c-k-c0x00ffffff-no-rj
OTHER,Cube Entertainment,i-dle,アイドゥル,UCritGVo7pLJLUS8wEu32vow,1378887586,(G)I-DLE,I-dle,CANDIDATE,旧名(G)I-DLE。Apple登録名はi-dle。候補(要popularityで最終順位確定),https://yt3.ggpht.com/_sDaQadipZMANZ_Otu2ZHZJIFe8BqCj8vy4oOMWGUJTGReKbxgTzGZG7LJJKoqwnC7l5QrGB=s88-c-k-c0x00ffffff-no-rj
OTHER,KQ Entertainment,ATEEZ,エイティーズ,UC2e4Ukj5Pfr7cb3KpJAFBdQ,1439301205,ATEEZ,Ateez,CANDIDATE,候補,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tNWtiMmVqamt2cHJrdiZzPWpwNiZ0PW0mdT0xbDZtZ2p2YXM0azAwJmk9MA/m470x470
OTHER,High Up Entertainment,STAYC,ステイシー,UCod5V2dpnpJLklGvVOv5FcQ,1538881438,STAYC,Stayc,CANDIDATE,候補,https://yt3.ggpht.com/vKgYTLMSvA3y1J6bM5-b2VVT9CW6djwVWlZf0e_CGkoeeoJBgPROgCbbNRoCn7bEkPe3taID=s88-c-k-c0x00ffffff-no-rj
OTHER,WakeOne,Kep1er,ケプラー,UC8whlOg70m2Yr3qSMjUhh0g,1594156263,Kep1er,Kep1er,CANDIDATE,候補,https://yt3.ggpht.com/vtGDUQofwdbgV89VQMyUlSNHYru4ioapSAgHebtc6suxoY-tyqiaWGDbrB7H-1muFhy7hDyl=s88-c-k-c0x00ffffff-no-rj
OTHER,RBW,MAMAMOO,ママム,UCuhAUMLzJxlP1W7mEk0_6lA,818951094,MAMAMOO,Mamamoo,CANDIDATE,候補,https://yt3.ggpht.com/V0y6r38_i7SmDNtJRg_HTwIRl6xKVAWcO-YLEDrmdyVSYa0XaYvRrJQt0SJjJYHuRda8_fGYPt0=s88-c-k-c0x00ffffff-no-rj
OTHER,WakeOne,ZEROBASEONE,ゼロベースワン,UCSAp0Yl9S0Zq5uDqE6im_XQ,1693315406,ZEROBASEONE,Zerobaseone,CANDIDATE,候補,https://yt3.ggpht.com/9hZT1z1ZAfGvc1KA4KvaE9bPFias30JnBRbYDKsoYMKmchcdEw0wSEropUmYe1AEBOWKTNJFrw=s88-c-k-c0x00ffffff-no-rj
OTHER,FNC Entertainment,P1Harmony,ピーワンハーモニー,UCe-XzQhLaq4zS_mPXzuc_2Q,1536862708,P1Harmony,P1Harmony,CANDIDATE,候補,https://yt3.ggpht.com/VwUA1yXC-RrrtLQ3GoOFt9V3DUFkjb3gpTx-fa0qmzVkUZRCrlRUMu2qaRFRJSvI9c0iWnoTxg=s88-c-k-c0x00ffffff-no-rj
