track_id,agency,sub_agency,artist_name_en,track_name,release_date,track_type,youtube_video_id,artwork_url,selection_reason,status,platforms,first_seen,last_seen
trk_53f2f3538ccc,HYBE,KOZ Entertainment,BOYNEXTDOOR,Count To Love,,chart,,,chart:spaceshower,active,spaceshower,2026-07-24,2026-07-31
trk_ca2922a24d63,HYBE,KOZ Entertainment,BOYNEXTDOOR,VIRAL,,chart,x1uJq8iYST4,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/20/39/c3/2039c30f-2b2e-b3f7-b472-b90b88592521/823375145547_Cover.jpg/300x300bb.jpg,chart:apple|chart:spaceshower|youtube,active,apple|spaceshower|youtube,2026-07-17,2026-08-07
trk_d4d46923b488,HYBE,BIGHIT MUSIC,BTS,2.0,,chart,,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tNzdwMTYzZzQxNG90ZiZzPWpwNiZ0PW0mdT0xazc2bHM2MGc1OTAwJmk9MA/m470x470,chart:line,active,line,2026-07-26,2026-08-05
trk_f0f1e3086c75,HYBE,BIGHIT MUSIC,BTS,Body to Body,,chart,,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tNzdwMTYzZzQxNG90ZiZzPWpwNiZ0PW0mdT0xazc2bHM2MGc1OTAwJmk9MA/m470x470,chart:line,active,line,2026-07-26,2026-08-05
trk_1ef945c3bbad,HYBE,BIGHIT MUSIC,BTS,Boy With Luv (feat. Halsey),,chart,,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/c19d1236t0a4e1c76/m470x470,chart:line,active,line,2026-07-26,2026-08-05
trk_74258d834407,HYBE,BIGHIT MUSIC,BTS,Butter,,chart,,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/ccf7b19e59691t0ddf9b69/m470x470,chart:line,active,line,2026-07-26,2026-08-05
trk_df78abcac274,HYBE,BIGHIT MUSIC,BTS,Come Over,,chart,,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0zOXNpMTBpcnBqcmJxJnM9anA2JnQ9bSZ1PTFsMjdyZzN1ODViZzAmaT0w/m470x470,chart:line,active,line,2026-07-26,2026-08-05
trk_ab669bd9e0b3,HYBE,BIGHIT MUSIC,BTS,Dynamite,,chart,,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/c07a319e42694t0c7789ca/m470x470,chart:line,active,line,2026-07-26,2026-08-05
trk_e708eb51a165,HYBE,BIGHIT MUSIC,BTS,FYA,,chart,,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tNzdwMTYzZzQxNG90ZiZzPWpwNiZ0PW0mdT0xazc2bHM2MGc1OTAwJmk9MA/m470x470,chart:line,active,line,2026-07-28,2026-08-05
trk_5ccf53213cb5,HYBE,BIGHIT MUSIC,BTS,Film out,,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-07-31
trk_9a14b99ff8e0,HYBE,BIGHIT MUSIC,BTS,Hooligan,,chart,,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tNzdwMTYzZzQxNG90ZiZzPWpwNiZ0PW0mdT0xazc2bHM2MGc1OTAwJmk9MA/m470x470,chart:line,active,line,2026-07-26,2026-08-05
trk_a80ee09b32f3,HYBE,BIGHIT MUSIC,BTS,NORMAL,,chart,NySBAMooqOc,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tNzdwMTYzZzQxNG90ZiZzPWpwNiZ0PW0mdT0xazc2bHM2MGc1OTAwJmk9MA/m470x470,chart:line|youtube,active,line|youtube,2026-07-26,2026-08-05
trk_41b44394014e,HYBE,BIGHIT MUSIC,BTS,Permission to Dance,,chart,,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/ca74819e51577t0e231493/m470x470,chart:line,active,line,2026-07-26,2026-08-05
